Unnamed: 0,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Unnamed:0
52,male,********,some college,standard,none,divorced,regularly,yes,3.0,school_bus,> 10,56,45,43,********
53,male,********,high school,standard,none,single,sometimes,yes,2.0,school_bus,5 - 10,88,78,75,********
54,female,********,some high school,free/reduced,completed,married,regularly,yes,,private,> 10,75,86,90,********
55,female,********,high school,free/reduced,none,divorced,sometimes,yes,2.0,private,5 - 10,33,41,43,********
56,female,********,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,> 10,84,86,87,********
57,male,********,associate's degree,standard,none,single,sometimes,no,2.0,private,5 - 10,52,55,49,********
58,male,********,,standard,completed,married,regularly,no,1.0,private,> 10,61,60,60,********
59,female,********,some high school,free/reduced,none,single,regularly,yes,3.0,school_bus,> 10,0,17,10,********
61,male,********,some high school,free/reduced,none,married,sometimes,yes,,school_bus,5 - 10,39,39,34,********
62,male,********,associate's degree,free/reduced,none,married,sometimes,yes,5.0,private,5 - 10,62,61,55,********
64,female,********,some high school,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,59,58,59,********
65,male,********,some high school,standard,none,married,never,yes,1.0,private,< 5,63,62,58,********
66,male,********,some high school,free/reduced,none,married,sometimes,yes,4.0,school_bus,5 - 10,45,37,37,********
67,female,********,some college,standard,none,married,regularly,no,3.0,school_bus,5 - 10,61,73,75,********
68,male,********,associate's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,,62,58,57,********
69,female,********,associate's degree,standard,none,single,sometimes,yes,3.0,school_bus,5 - 10,39,64,57,********
71,male,********,some college,standard,completed,divorced,sometimes,yes,3.0,private,> 10,64,55,64,********
72,female,********,associate's degree,free/reduced,none,single,regularly,yes,1.0,private,5 - 10,42,51,49,********
73,male,********,some high school,free/reduced,none,divorced,never,yes,3.0,school_bus,5 - 10,59,56,54,********
74,male,********,some high school,standard,,married,sometimes,yes,2.0,private,< 5,47,48,40,********
75,male,********,associate's degree,free/reduced,none,divorced,sometimes,no,,school_bus,5 - 10,44,41,38,********
76,male,********,some high school,standard,none,,sometimes,no,5.0,school_bus,5 - 10,28,25,21,********
77,male,********,,standard,completed,,regularly,yes,,,5 - 10,82,79,83,********
78,female,********,some high school,standard,completed,divorced,sometimes,yes,2.0,school_bus,> 10,62,75,73,********
79,female,********,master's degree,standard,none,divorced,never,yes,1.0,school_bus,5 - 10,60,68,68,********
80,female,********,associate's degree,standard,none,married,regularly,yes,0.0,private,> 10,49,50,52,********
81,male,********,high school,free/reduced,none,married,sometimes,yes,0.0,private,,49,45,45,********
82,male,********,some college,free/reduced,completed,married,sometimes,no,,school_bus,5 - 10,50,47,54,********
83,male,********,associate's degree,standard,none,married,regularly,yes,0.0,private,5 - 10,74,64,64,********
84,male,********,high school,free/reduced,none,married,never,,3.0,private,5 - 10,40,38,33,********
85,female,********,some college,standard,none,divorced,sometimes,yes,0.0,private,5 - 10,73,80,82,********
86,female,********,some college,free/reduced,none,married,sometimes,yes,,school_bus,< 5,73,81,86,********
87,female,********,associate's degree,standard,none,single,sometimes,yes,0.0,private,5 - 10,71,71,74,********
88,female,********,some college,standard,none,divorced,regularly,yes,3.0,school_bus,< 5,57,69,67,********
89,female,********,some high school,standard,none,single,sometimes,yes,,private,> 10,75,87,83,********
91,male,********,high school,free/reduced,none,divorced,regularly,no,4.0,,5 - 10,27,34,36,********
92,male,********,high school,standard,none,divorced,sometimes,no,1.0,,< 5,68,77,69,********
93,male,********,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,> 10,45,46,52,********
94,female,********,some college,standard,none,married,regularly,yes,4.0,private,5 - 10,81,87,94,********
96,male,********,some high school,standard,completed,married,regularly,yes,5.0,school_bus,5 - 10,63,65,61,********
97,female,********,some college,standard,completed,married,never,yes,0.0,school_bus,< 5,59,69,66,********
98,female,********,some college,free/reduced,none,single,regularly,yes,2.0,,> 10,61,69,64,********
99,female,********,bachelor's degree,standard,none,married,regularly,yes,3.0,school_bus,< 5,64,66,62,********
100,male,********,some college,standard,none,married,sometimes,no,7.0,school_bus,5 - 10,79,67,67,********
101,male,********,bachelor's degree,standard,completed,single,sometimes,no,1.0,private,5 - 10,68,74,74,********
102,female,********,associate's degree,standard,none,married,regularly,yes,3.0,school_bus,5 - 10,87,92,91,********
103,male,********,high school,standard,completed,married,regularly,no,3.0,school_bus,5 - 10,61,44,48,********
104,male,********,some college,standard,completed,married,regularly,yes,1.0,school_bus,> 10,100,88,94,********
105,female,********,some college,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,58,67,72,********
106,female,********,master's degree,standard,none,married,sometimes,no,3.0,private,5 - 10,87,100,100,********
107,male,********,,standard,completed,single,sometimes,yes,0.0,school_bus,5 - 10,66,63,64,********
108,female,********,associate's degree,free/reduced,none,married,sometimes,yes,2.0,school_bus,5 - 10,52,76,70,********
109,female,********,some high school,standard,none,single,regularly,no,3.0,school_bus,5 - 10,72,64,73,********
110,female,********,associate's degree,free/reduced,completed,single,sometimes,yes,4.0,school_bus,> 10,79,90,99,********
111,male,********,high school,standard,none,single,regularly,no,6.0,,5 - 10,63,55,50,********
112,male,********,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,5 - 10,54,53,47,********
113,female,********,some college,standard,none,married,never,yes,1.0,school_bus,< 5,47,56,51,********
114,female,********,bachelor's degree,standard,completed,married,regularly,yes,3.0,school_bus,< 5,98,99,100,********
115,male,********,high school,standard,none,married,sometimes,yes,4.0,private,5 - 10,84,77,74,********
116,female,********,bachelor's degree,free/reduced,none,single,never,no,1.0,school_bus,5 - 10,72,83,79,********
117,female,********,bachelor's degree,standard,none,married,never,no,2.0,private,5 - 10,75,80,77,********
118,female,********,some high school,standard,none,single,regularly,yes,0.0,private,> 10,54,64,63,********
119,female,********,some college,standard,none,divorced,sometimes,no,3.0,school_bus,5 - 10,55,69,65,********
120,female,********,bachelor's degree,standard,completed,married,never,yes,1.0,school_bus,5 - 10,76,90,86,********
121,male,********,associate's degree,standard,completed,married,sometimes,yes,3.0,school_bus,< 5,88,87,90,********
122,female,********,some college,standard,completed,single,regularly,yes,1.0,,5 - 10,90,94,95,********
123,male,********,high school,free/reduced,none,married,sometimes,no,3.0,private,,63,57,56,********
124,male,********,some college,standard,none,single,regularly,no,3.0,school_bus,< 5,82,79,73,********
125,female,********,high school,standard,none,single,never,yes,2.0,school_bus,> 10,86,94,85,********
126,male,********,,standard,none,married,,no,3.0,private,5 - 10,72,68,67,********
127,male,********,some college,standard,,married,regularly,no,3.0,school_bus,< 5,64,76,74,********
128,male,********,master's degree,standard,none,single,never,yes,2.0,private,< 5,77,81,72,********
129,female,********,bachelor's degree,standard,none,,regularly,yes,0.0,school_bus,5 - 10,52,49,52,********
130,male,********,master's degree,standard,none,single,sometimes,no,1.0,school_bus,< 5,87,84,82,********
131,male,********,some high school,free/reduced,completed,single,regularly,yes,1.0,private,< 5,52,36,40,********
132,male,********,some college,free/reduced,completed,married,regularly,yes,2.0,school_bus,5 - 10,89,75,71,********
133,female,********,some college,standard,completed,married,never,no,6.0,,< 5,70,78,80,********
134,male,********,bachelor's degree,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,76,80,76,********
135,male,********,bachelor's degree,standard,none,married,sometimes,yes,1.0,,< 5,56,54,47,********
136,male,********,some high school,standard,completed,divorced,sometimes,yes,1.0,private,5 - 10,51,54,41,********
137,male,********,high school,standard,none,divorced,sometimes,yes,0.0,school_bus,< 5,67,54,54,********
138,female,********,associate's degree,standard,,married,sometimes,yes,1.0,private,5 - 10,59,66,67,********
139,male,********,some college,standard,completed,married,sometimes,yes,0.0,private,> 10,73,61,70,********
140,female,********,some high school,standard,none,married,sometimes,no,1.0,school_bus,5 - 10,76,72,71,********
141,female,********,some college,free/reduced,none,married,regularly,no,2.0,private,5 - 10,60,62,65,********
142,female,********,some college,free/reduced,completed,single,regularly,,1.0,private,< 5,41,54,54,********
143,male,********,high school,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,57,43,47,********
144,male,********,some college,standard,none,divorced,sometimes,yes,3.0,private,> 10,90,74,79,********
145,female,********,some college,free/reduced,none,single,regularly,yes,1.0,school_bus,< 5,21,38,33,********
148,female,********,bachelor's degree,standard,completed,married,sometimes,yes,1.0,private,< 5,65,73,79,********
149,male,********,associate's degree,free/reduced,completed,married,regularly,no,3.0,private,5 - 10,100,100,95,********
150,male,********,some high school,standard,completed,married,sometimes,no,2.0,private,5 - 10,62,67,69,********
152,female,********,associate's degree,standard,completed,single,sometimes,yes,2.0,school_bus,< 5,57,68,64,********
153,male,********,bachelor's degree,standard,none,married,sometimes,no,1.0,,5 - 10,54,49,47,********
154,male,********,some high school,standard,none,single,never,no,2.0,,< 5,58,65,58,********
155,female,********,some college,standard,completed,married,regularly,yes,3.0,school_bus,< 5,69,88,88,********
156,female,********,high school,free/reduced,completed,married,regularly,yes,1.0,school_bus,5 - 10,67,75,79,********
157,male,********,,free/reduced,none,,sometimes,yes,2.0,school_bus,< 5,58,59,58,********
158,female,********,associate's degree,standard,,divorced,regularly,yes,2.0,private,5 - 10,62,87,89,********
159,male,********,associate's degree,free/reduced,none,married,regularly,no,3.0,school_bus,> 10,70,63,66,********
160,male,********,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,5 - 10,82,78,74,********
161,female,********,some college,free/reduced,completed,married,sometimes,yes,3.0,school_bus,5 - 10,75,88,85,********
162,male,********,master's degree,free/reduced,none,single,never,no,2.0,school_bus,5 - 10,48,53,52,********
163,male,********,high school,standard,none,divorced,sometimes,yes,1.0,school_bus,5 - 10,52,53,49,********
164,female,********,master's degree,standard,none,married,never,yes,3.0,private,< 5,76,89,86,********
165,female,********,bachelor's degree,standard,completed,married,sometimes,yes,0.0,school_bus,5 - 10,96,100,100,********
166,male,********,high school,free/reduced,completed,single,sometimes,yes,5.0,private,5 - 10,53,51,51,********
167,female,********,master's degree,free/reduced,completed,married,regularly,no,1.0,private,> 10,62,79,83,********
168,female,********,high school,standard,completed,married,regularly,yes,2.0,private,5 - 10,70,84,79,********
170,male,********,high school,standard,completed,divorced,regularly,yes,5.0,school_bus,> 10,76,75,77,********
171,male,********,some high school,standard,none,married,sometimes,no,3.0,school_bus,< 5,91,86,76,********
172,female,********,some college,standard,none,single,never,yes,3.0,school_bus,5 - 10,76,84,78,********
173,female,********,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,63,67,70,********
174,female,********,bachelor's degree,free/reduced,completed,married,sometimes,no,1.0,school_bus,< 5,41,50,52,********
175,female,********,master's degree,standard,completed,divorced,sometimes,yes,1.0,school_bus,5 - 10,81,92,89,********
176,female,********,high school,free/reduced,completed,married,sometimes,no,2.0,school_bus,< 5,44,53,56,********
177,female,********,associate's degree,standard,completed,married,regularly,yes,,school_bus,< 5,70,76,77,********
178,female,********,master's degree,free/reduced,completed,divorced,regularly,yes,2.0,school_bus,5 - 10,54,72,65,********
179,female,********,some high school,standard,completed,divorced,regularly,yes,0.0,school_bus,5 - 10,99,100,100,********
180,male,********,master's degree,free/reduced,completed,single,sometimes,yes,2.0,private,< 5,60,68,75,********
181,female,********,some college,free/reduced,none,single,sometimes,yes,1.0,private,5 - 10,46,64,66,********
182,female,********,high school,standard,none,married,sometimes,yes,3.0,private,,50,50,47,********
183,female,********,associate's degree,standard,none,single,sometimes,no,,private,< 5,63,67,68,********
185,male,********,associate's degree,free/reduced,completed,married,never,yes,5.0,private,< 5,61,65,62,********
186,male,********,high school,standard,none,married,never,yes,1.0,school_bus,< 5,75,73,62,********
187,male,********,some high school,standard,completed,married,sometimes,no,4.0,private,5 - 10,62,66,68,********
188,male,********,some high school,free/reduced,none,married,regularly,no,3.0,school_bus,< 5,47,51,45,********
189,female,********,bachelor's degree,standard,none,single,sometimes,yes,1.0,school_bus,< 5,74,86,85,********
190,female,********,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,66,65,69,********
191,male,********,some college,standard,completed,married,sometimes,no,2.0,school_bus,< 5,73,81,77,********
192,female,********,some high school,standard,none,single,sometimes,no,3.0,private,,62,64,66,********
193,male,********,some college,standard,completed,married,regularly,yes,4.0,,,79,62,63,********
194,female,********,master's degree,standard,completed,,regularly,yes,1.0,school_bus,< 5,69,85,87,********
195,male,********,associate's degree,standard,none,married,regularly,no,4.0,school_bus,< 5,60,54,52,********
196,male,********,,free/reduced,completed,married,never,yes,1.0,school_bus,5 - 10,57,67,63,********
197,male,********,high school,free/reduced,none,married,,no,7.0,private,> 10,56,56,52,********
198,female,********,some college,free/reduced,none,widowed,regularly,yes,3.0,,> 10,47,54,57,********
199,female,********,bachelor's degree,free/reduced,,married,regularly,yes,3.0,private,5 - 10,80,80,77,********
200,female,********,associate's degree,standard,completed,single,regularly,no,1.0,private,< 5,66,83,86,********
201,female,********,some college,free/reduced,none,divorced,sometimes,yes,3.0,school_bus,< 5,63,79,75,********
202,male,********,associate's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,77,69,********
203,female,********,associate's degree,standard,none,,regularly,yes,2.0,school_bus,5 - 10,58,70,69,********
204,male,********,some college,standard,none,single,regularly,yes,1.0,,< 5,58,40,42,********
205,male,********,some high school,standard,completed,married,,yes,,school_bus,< 5,71,69,76,********
206,male,********,bachelor's degree,standard,none,married,regularly,yes,4.0,school_bus,5 - 10,84,62,63,********
207,male,********,high school,standard,completed,married,regularly,no,2.0,school_bus,5 - 10,83,81,77,********
208,female,********,some college,free/reduced,none,married,regularly,yes,1.0,private,< 5,73,80,76,********
209,female,********,some college,free/reduced,,single,sometimes,no,2.0,,,58,61,66,********
210,male,********,some high school,free/reduced,completed,widowed,sometimes,yes,3.0,school_bus,< 5,77,77,77,********
211,male,********,some college,free/reduced,,married,sometimes,yes,3.0,school_bus,5 - 10,35,28,27,********
212,female,********,high school,free/reduced,none,divorced,sometimes,yes,2.0,school_bus,5 - 10,42,62,60,********
213,male,********,associate's degree,free/reduced,completed,single,regularly,no,1.0,school_bus,5 - 10,61,51,57,********
214,male,********,high school,standard,,married,sometimes,yes,1.0,private,5 - 10,87,91,81,********
215,male,********,some high school,standard,completed,,regularly,no,2.0,private,5 - 10,86,84,76,********
216,female,********,associate's degree,free/reduced,completed,married,sometimes,yes,3.0,school_bus,< 5,80,84,86,********
217,female,********,high school,free/reduced,,married,regularly,no,3.0,,< 5,33,41,39,********
218,male,********,high school,free/reduced,none,married,sometimes,no,2.0,school_bus,< 5,64,75,68,********
219,male,********,some high school,standard,completed,single,never,no,1.0,,5 - 10,59,55,54,********
220,female,********,high school,standard,completed,widowed,regularly,yes,4.0,school_bus,5 - 10,57,69,75,********
221,male,********,associate's degree,standard,none,married,sometimes,yes,0.0,school_bus,> 10,89,86,74,********
222,female,********,some high school,free/reduced,,divorced,sometimes,no,3.0,,5 - 10,55,65,62,********
223,male,********,some high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,88,81,76,********
224,female,********,associate's degree,standard,completed,divorced,regularly,,3.0,school_bus,> 10,55,67,76,********
225,female,********,master's degree,free/reduced,none,married,sometimes,no,,private,< 5,43,55,52,********
226,female,********,some college,standard,none,married,sometimes,yes,5.0,school_bus,5 - 10,72,72,71,********
227,male,********,high school,standard,none,single,regularly,yes,0.0,school_bus,5 - 10,58,50,55,********
228,male,********,,free/reduced,none,divorced,sometimes,no,4.0,school_bus,5 - 10,68,72,64,********
229,female,********,some college,standard,completed,married,regularly,yes,3.0,school_bus,> 10,93,97,98,********
230,male,********,some college,standard,none,married,regularly,yes,0.0,,5 - 10,78,64,67,********
231,male,********,associate's degree,standard,none,married,regularly,,1.0,private,5 - 10,47,43,43,********
232,female,********,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,67,86,83,********
233,male,********,some high school,standard,none,divorced,sometimes,yes,3.0,school_bus,> 10,94,88,79,********
234,male,********,bachelor's degree,standard,completed,married,sometimes,no,3.0,school_bus,> 10,85,83,85,********
235,male,********,associate's degree,standard,none,married,regularly,no,1.0,school_bus,> 10,84,77,80,********
236,male,********,bachelor's degree,free/reduced,none,divorced,regularly,no,2.0,school_bus,< 5,62,65,67,********
237,female,********,some high school,standard,,married,sometimes,yes,4.0,school_bus,< 5,62,59,72,********
238,male,********,some college,standard,none,married,regularly,yes,2.0,private,> 10,57,53,53,********
239,male,********,associate's degree,standard,none,,sometimes,yes,1.0,private,5 - 10,84,80,80,********
240,male,********,high school,free/reduced,completed,divorced,,yes,1.0,private,> 10,75,69,67,********
241,female,********,bachelor's degree,standard,none,single,regularly,no,4.0,private,5 - 10,82,84,85,********
243,male,********,some college,standard,,single,regularly,no,2.0,school_bus,< 5,58,50,43,********
244,male,********,some high school,standard,none,divorced,regularly,yes,1.0,school_bus,< 5,74,73,69,********
245,male,********,associate's degree,standard,none,married,sometimes,no,3.0,private,< 5,82,74,69,********
246,male,********,associate's degree,standard,,married,regularly,no,2.0,school_bus,5 - 10,91,77,75,********
247,female,********,high school,standard,completed,single,sometimes,yes,1.0,private,5 - 10,58,70,68,********
248,female,********,high school,standard,none,married,sometimes,yes,2.0,private,< 5,63,63,60,********
249,male,********,high school,standard,none,married,sometimes,no,2.0,school_bus,> 10,70,60,54,********
250,male,********,some high school,standard,completed,single,sometimes,yes,2.0,school_bus,5 - 10,47,49,49,********
251,female,********,some college,free/reduced,none,married,regularly,,4.0,school_bus,< 5,70,82,83,********
252,female,********,some high school,standard,completed,single,sometimes,yes,3.0,private,5 - 10,60,70,70,********
253,male,********,master's degree,standard,none,married,sometimes,no,3.0,school_bus,,80,80,72,********
254,male,********,high school,standard,none,married,sometimes,yes,0.0,private,5 - 10,54,52,52,********
255,female,********,some college,standard,none,single,sometimes,no,1.0,school_bus,5 - 10,62,73,70,********
256,female,********,associate's degree,free/reduced,none,single,sometimes,no,5.0,private,< 5,62,71,66,********
257,male,********,associate's degree,standard,completed,married,regularly,,1.0,school_bus,5 - 10,80,78,78,********
260,female,********,some high school,free/reduced,completed,married,sometimes,yes,1.0,private,> 10,65,80,78,********
261,male,********,some college,standard,completed,married,sometimes,no,2.0,school_bus,5 - 10,79,79,78,********
262,female,********,some high school,free/reduced,none,married,regularly,no,2.0,private,5 - 10,45,50,52,********
263,female,********,high school,standard,none,single,sometimes,yes,1.0,private,5 - 10,99,93,90,********
264,male,********,high school,standard,none,married,sometimes,no,2.0,private,5 - 10,76,73,68,********
265,male,********,some high school,free/reduced,none,divorced,sometimes,no,1.0,school_bus,< 5,57,41,40,********
266,female,********,bachelor's degree,standard,none,married,sometimes,no,2.0,school_bus,< 5,61,73,79,********
267,female,********,high school,standard,none,married,regularly,no,3.0,school_bus,5 - 10,71,73,78,********
268,female,********,associate's degree,standard,completed,married,regularly,yes,5.0,school_bus,> 10,93,94,99,********
269,female,********,some college,free/reduced,none,married,sometimes,no,2.0,school_bus,,71,76,70,********
270,male,********,bachelor's degree,standard,none,married,sometimes,yes,2.0,school_bus,5 - 10,69,63,61,********
271,male,********,some college,standard,,single,regularly,yes,1.0,,< 5,57,48,42,********
272,female,********,associate's degree,free/reduced,none,single,regularly,yes,2.0,private,5 - 10,48,53,59,********
273,female,********,some college,standard,none,married,sometimes,no,2.0,private,5 - 10,65,70,71,********
274,male,********,some college,standard,completed,widowed,,yes,1.0,school_bus,< 5,85,83,74,********
275,male,********,bachelor's degree,standard,none,married,sometimes,no,3.0,school_bus,5 - 10,83,78,73,********
276,female,********,some high school,standard,completed,married,sometimes,yes,3.0,private,< 5,82,90,91,********
277,female,********,,standard,completed,single,sometimes,no,4.0,school_bus,< 5,57,62,73,********
278,female,********,some high school,free/reduced,none,married,sometimes,yes,1.0,school_bus,5 - 10,65,86,80,********
279,male,********,bachelor's degree,free/reduced,none,widowed,sometimes,no,2.0,school_bus,5 - 10,73,56,57,********
281,male,********,high school,standard,none,divorced,sometimes,no,,private,5 - 10,45,48,46,********
282,female,********,bachelor's degree,free/reduced,none,divorced,regularly,no,3.0,school_bus,5 - 10,75,80,86,********
283,female,********,some college,free/reduced,completed,,never,yes,2.0,school_bus,5 - 10,67,76,76,********
284,female,********,some high school,standard,none,married,regularly,yes,0.0,private,< 5,36,45,46,********
285,male,********,associate's degree,standard,completed,married,never,yes,3.0,school_bus,5 - 10,78,80,79,********
286,male,********,associate's degree,standard,completed,married,regularly,yes,0.0,private,5 - 10,99,83,90,********
287,female,********,some high school,standard,none,married,sometimes,no,1.0,school_bus,< 5,64,87,80,********
288,male,********,bachelor's degree,free/reduced,none,single,sometimes,yes,0.0,,< 5,85,73,74,********
289,male,********,some high school,standard,completed,married,sometimes,yes,1.0,school_bus,> 10,79,77,78,********
290,male,********,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,76,70,68,********
291,male,********,some high school,standard,none,married,sometimes,yes,2.0,private,< 5,83,71,68,********
292,male,********,some high school,standard,completed,married,never,yes,1.0,private,5 - 10,61,59,55,********
293,female,********,bachelor's degree,standard,none,married,sometimes,yes,,school_bus,> 10,66,74,76,********
294,male,********,high school,free/reduced,completed,single,regularly,yes,3.0,school_bus,5 - 10,80,78,82,********
295,male,********,associate's degree,free/reduced,none,married,never,yes,1.0,school_bus,> 10,66,61,59,********
296,male,********,some high school,standard,completed,widowed,regularly,no,2.0,school_bus,5 - 10,47,41,44,********
297,male,********,associate's degree,standard,completed,single,regularly,no,1.0,school_bus,5 - 10,73,75,69,********
298,male,********,,free/reduced,completed,single,regularly,no,2.0,private,< 5,39,45,50,********
299,male,********,associate's degree,free/reduced,none,married,regularly,no,2.0,,< 5,89,86,75,********
300,male,********,some college,free/reduced,completed,married,never,yes,2.0,private,< 5,76,75,77,********
301,male,********,some high school,free/reduced,,divorced,regularly,no,4.0,school_bus,< 5,55,53,52,********
302,female,********,associate's degree,standard,completed,single,never,yes,5.0,school_bus,> 10,66,83,80,********
303,male,********,associate's degree,standard,none,married,regularly,yes,1.0,school_bus,5 - 10,82,77,65,********
304,female,********,associate's degree,standard,completed,married,regularly,yes,2.0,school_bus,5 - 10,76,76,85,********
305,male,********,some college,standard,none,,sometimes,yes,7.0,private,5 - 10,69,67,69,********
306,male,********,some college,standard,completed,divorced,regularly,yes,5.0,private,5 - 10,100,88,83,********
307,male,********,some high school,standard,none,single,regularly,no,2.0,,5 - 10,52,52,45,********
308,female,********,associate's degree,free/reduced,none,married,regularly,no,3.0,private,> 10,56,73,70,********
309,female,********,high school,free/reduced,,single,regularly,yes,5.0,,< 5,48,56,52,********
310,female,********,associate's degree,standard,none,married,sometimes,no,2.0,school_bus,5 - 10,73,76,80,********
311,male,********,bachelor's degree,standard,none,married,never,yes,3.0,school_bus,< 5,62,58,54,********
312,male,********,bachelor's degree,standard,completed,single,sometimes,yes,0.0,private,,67,61,68,********
313,female,********,associate's degree,free/reduced,completed,single,sometimes,yes,2.0,private,> 10,70,68,70,********
315,male,********,high school,standard,none,married,regularly,no,3.0,private,5 - 10,73,66,66,********
316,female,********,master's degree,standard,completed,widowed,never,yes,3.0,private,5 - 10,74,80,88,********
